"Ano","Id","Município","N. Internação","Dias de Permanência","N. Óbitos","Prop Inter / Total Pop","Prop Dias Perm / Internações","Prop de Óbitos / Inter","IDHM","PIB per Capita série revisada","POP_TOT - População total do município do ano de referência (Fonte: IBGE):","ES001 - População total atendida com esgotamento sanitário","ES002 - Quantidade de ligações ativas de esgotos","ES005 - Volume de esgotos coletado","ES006 - Volume de esgotos tratado","IN015_AE - Índice de coleta de esgoto","IN016_AE - Índice de tratamento de esgoto","IN046_AE - Índice de esgoto tratado referido à água consumida","IN056_AE - Índice de atendimento total de esgoto referido aos municípios atendidos com água"
"2012",278,"Três Pontas",40,104,1,7.367975096244175E-4,2.6,0.025,0.731,14930.57,54289,47543,16322,2765.05,22.41,100.0,0.81,0.81,87.57
"2013",278,"Três Pontas",42,98,0,7.479165182705321E-4,2.3333333333333335,0.0,0.731,15320.51,56156,49151,16650,2946.74,22.68,98.82,0.77,0.76,87.53
"2014",278,"Três Pontas",67,217,4,0.0011877747837186214,3.2388059701492535,0.05970149253731343,0.731,17515.5,56408,50100,17028,2953.42,17.42,98.8,0.59,0.58,88.82
"2008",280,"Turmalina",105,290,1,0.005853169072969508,2.761904761904762,0.009523809523809525,0.516,5536.06,17939,8262,0,48.49,0.0,11.37,0.0,0.0,46.06
"2009",280,"Turmalina",89,243,1,0.004907907797507444,2.730337078651685,0.011235955056179775,0.516,5542.82,18134,9214,2819,238.86,0.0,53.92,0.0,0.0,50.81
"2010",280,"Turmalina",121,364,0,0.00670174466906674,3.0082644628099175,0.0,0.682,7681.92,18055,10091,3155,280.44,0.0,56.74,0.0,0.0,55.89
"2011",280,"Turmalina",91,238,0,0.004993963341016354,2.6153846153846154,0.0,0.682,9141.9,18222,11257,3526,307.54,10.78,60.19,3.51,2.11,61.78
"2012",280,"Turmalina",93,230,2,0.00505902192242833,2.4731182795698925,0.021505376344086023,0.682,10240.76,18383,11988,3736,325.24,206.22,58.22,63.41,36.92,65.21
"2013",280,"Turmalina",33,103,1,0.0017264832060269958,3.121212121212121,0.030303030303030304,0.682,10488.83,19114,12658,3970,367.52,367.52,57.81,100.0,57.81,66.22
"2014",280,"Turmalina",25,54,0,0.0012961426793861469,2.16,0.0,0.682,14848.33,19288,13108,4135,347.54,347.54,57.84,100.0,57.84,67.96
"2008",282,"Uberaba",400,1680,0,0.0013680966697106817,4.2,0.0,0.692,21279.05,292377,288482,86758,13752.74,275.05,78.13,2.0,1.56,98.67
"2009",282,"Uberaba",293,1137,1,9.889928137689402E-4,3.8805460750853245,0.0034129692832764505,0.692,21904.7,296261,284965,89216,14513.0,2504.0,80.0,17.25,13.8,96.19
